Intercept	Height	Sex	Age	Weight	gPC1	gPC2	gPC3
1.20881414178574e-19	8.15065796506612e-08	1.23649962489447e-32	1.62482020927276e-07	3.12427601292265e-15	7.74928476418572e-06	0.0029713171553482	0.0632733241874397
8.92426567540754e-20	9.42458270445699e-09	7.44461843702393e-33	3.20146148406077e-07	3.3670900168761e-17	1.0755706340013e-05	0.00492718688738546	0.0498902358620105
1.51835515758791e-19	1.20103065816928e-09	1.81046890161757e-32	7.81654090129119e-07	2.54127764904796e-19	1.73242446836085e-05	0.00784654588622741	0.0418959770491007
4.92610259179397e-19	1.83154027712426e-10	1.29785777627332e-31	1.89029304032232e-06	2.06940222670537e-21	2.82291546006871e-05	0.0112053418289452	0.0370637927081913
1.60048621535385e-20	6.33177287557887e-08	4.21905482735362e-34	6.68986446714827e-08	1.65853530481088e-15	4.20400548110352e-06	0.00322849674030146	0.0584769383508706
6.09780422369802e-20	3.30509840027896e-07	3.93898014682959e-33	4.11955094894537e-08	5.17085537838081e-14	3.69996152697221e-06	0.00186335283137119	0.0738018940565838
2.84819897618314e-19	9.91311356314258e-07	5.1867508561551e-32	2.36360758038085e-08	3.97077340972172e-13	3.99782592215003e-06	0.00114180279951587	0.0891735298192059
1.10860614649946e-20	8.833494544445e-09	2.28616846532567e-34	1.43571521610031e-07	1.88709373819322e-17	6.2141137597439e-06	0.0054530731648896	0.0467994276714129
2.5754242436558e-18	3.78035117346343e-11	2.07552258982571e-30	5.12828403592918e-06	3.55604624077244e-23	5.04130398274361e-05	0.0146478478710442	0.0345980004752921
1.38076482702334e-20	1.07807005483368e-09	3.29753577258073e-34	3.33549232430118e-07	1.18990866690648e-19	1.02158373420458e-05	0.00817326403805746	0.0388791202869999
2.92898987839135e-18	2.34247354448351e-06	2.57538291828544e-30	6.88140250353762e-09	1.33717662090752e-12	3.97350000588931e-06	0.000682126233294339	0.107931832230875
3.4303482255798e-16	1.17256559849099e-11	7.7433780272943e-27	6.47165390158443e-05	5.46874112618452e-24	0.000242029171773126	0.0189904119458947	0.0414127411179814
5.24353074409372e-20	1.46790366580688e-10	3.06089549192088e-33	8.57538154610045e-07	7.78966795912759e-22	1.69168121971744e-05	0.0117424735596062	0.0338584824144739
4.08893385621397e-17	3.56354277589794e-06	2.15698880161617e-28	3.58913614000787e-09	1.39948612588497e-12	5.68001677918778e-06	0.00053605860736025	0.121825366401307
1.25718171680436e-17	1.35482236277421e-11	2.97105662172929e-29	1.18770628464606e-05	2.54145091707264e-24	8.99828494366206e-05	0.0171708232327473	0.0351757230906
1.43046829285719e-20	2.40290805653899e-07	3.49799210273096e-34	1.49079923135293e-08	3.22071483260138e-14	2.44803554178341e-06	0.00192726554331759	0.0692491197080761
1.48239141276656e-21	7.10836182354478e-09	7.9934471140257e-36	6.26851747341107e-08	1.11931267680256e-17	3.87285978326632e-06	0.00549510177103838	0.042459014410229
2.44274252055512e-19	3.16097180761456e-11	4.01126545541825e-32	2.11927827590012e-06	1.40465475573157e-23	3.08837385264211e-05	0.0146791346298165	0.0309861389322828
5.22502045136911e-16	3.54138271672816e-06	1.57383637896617e-26	1.63640009166654e-09	6.69874709249874e-13	7.29167342604504e-06	0.000463332255653849	0.141895418117929
1.08509648636279e-21	4.10750424099324e-08	4.75518034787877e-36	1.7546618835632e-08	9.39967491174005e-16	2.03404729217732e-06	0.00332872059422203	0.0519628867677124
6.13297786497186e-20	7.50205599430683e-07	3.97702396437429e-33	5.21140794323438e-09	3.38328022797938e-13	2.18319419956352e-06	0.00108648392518591	0.0844704796362123
5.94259937284844e-19	1.66330947537243e-06	1.77694036301102e-31	3.38045138098627e-09	1.09261208817261e-12	2.72928405388395e-06	0.000732980536581019	0.100543675567623
5.00540697162843e-21	1.37846659686405e-10	6.07004536059472e-35	4.47275963744915e-07	3.99946095887549e-22	1.15244990026091e-05	0.0116445435565256	0.0318384837499286
1.43018769128849e-15	7.3618321783785e-12	8.60089074127698e-26	0.000169602038376759	7.30502474538918e-24	0.0004903413726703	0.0232019527014723	0.0466645743196716
4.10476574249829e-22	9.05627957995117e-10	9.43587320109355e-37	8.72376070713597e-08	5.98723984485203e-20	5.0562956060878e-06	0.00813674763929514	0.034020818095891
7.14678230644646e-17	4.63823327544067e-12	5.51808361541268e-28	3.66284683722502e-05	2.42373301831053e-25	0.000186175487700887	0.021942374520791	0.0353796704031912
6.60205611005367e-18	2.36734629065499e-06	1.00731877053597e-29	1.81941116060207e-09	1.01861631351168e-12	3.37954905758713e-06	0.000576802738069473	0.117108802734518
6.06208623097062e-15	3.16860567917095e-06	9.85543880257701e-25	1.07372643909309e-09	3.0424899001258e-13	9.01521373578576e-06	0.000449411920509561	0.162462310872496
1.14700396113557e-18	6.51902813992227e-12	5.34755999111584e-31	5.83187440317916e-06	2.3579704580859e-25	5.95873770062344e-05	0.0186889181972729	0.0294065308544736
4.19462678411209e-15	1.27531547962583e-11	5.29038186942344e-25	0.000351941855774048	1.38321501840162e-22	0.000906845113088298	0.0250597862382608	0.05585573025423
1.4132803308936e-22	3.49003655771306e-08	1.60384881267411e-37	8.21330328079042e-09	8.58393262972486e-16	1.45030500443615e-06	0.00321239582495802	0.0489592589341021
